lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
N/A,($0.13),time-not-supplied,LASE,Laser Photonics Corporation,"$51,822,425",Sep/2025,,1,,,1.0,2025-11-13
11/13/2024,($1.90),time-after-hours,GWH,"ESS Tech, Inc.","$51,366,580",Sep/2025,($0.76),1,,,1.0,2025-11-13
N/A,($0.01),time-after-hours,GROV,"Grove Collaborative Holdings, Inc.","$51,266,099",Sep/2025,,1,,,1.0,2025-11-13
11/07/2024,($0.42),time-after-hours,TELA,"TELA Bio, Inc.","$51,105,208",Sep/2025,($0.17),1,,,1.0,2025-11-13
N/A,($0.04),time-not-supplied,SMXT,Solarmax Technology Inc.,"$50,794,979",Sep/2025,,1,,,1.0,2025-11-13
11/07/2024,($0.09),time-after-hours,CTSO,Cytosorbents Corporation,"$49,657,140",Sep/2025,($0.05),2,,,2.0,2025-11-13
11/13/2024,N/A,time-pre-market,BWEN,"Broadwind, Inc.","$48,617,489",Sep/2025,$0.03,2,0.03,,2.0,2025-11-13
11/14/2024,($0.25),time-after-hours,FLNT,"Fluent, Inc.","$48,536,598",Sep/2025,($0.16),1,,,1.0,2025-11-13
11/14/2024,($0.07),time-not-supplied,VNRX,VolitionRX Limited,"$48,310,344",Sep/2025,($0.04),2,,,2.0,2025-11-13
11/14/2024,($0.10),time-not-supplied,PPSI,"Pioneer Power Solutions, Inc.","$47,376,786",Sep/2025,($0.16),1,,,1.0,2025-11-13
11/14/2024,($6.31),time-not-supplied,SNTI,"Senti Biosciences, Inc. ","$47,349,973",Sep/2025,($0.59),1,,,1.0,2025-11-13
N/A,($0.23),time-not-supplied,ODYS,Odysight.ai Inc.,"$46,216,240",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.02),time-not-supplied,CLIR,ClearSign Technologies Corporation,"$45,338,249",Sep/2025,($0.04),1,,,1.0,2025-11-13
11/14/2024,($3.58),time-not-supplied,KSCP,"Knightscope, Inc.","$44,194,823",Sep/2025,($0.72),2,,,2.0,2025-11-13
11/12/2024,($0.04),time-pre-market,SOHO,Sotherly Hotels Inc.,"$44,054,577",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,($0.37),time-not-supplied,ATNM,"Actinium Pharmaceuticals, Inc.","$42,114,453",Sep/2025,($0.25),1,,,1.0,2025-11-13
11/14/2024,($0.29),time-not-supplied,PDSB,PDS Biotechnology Corporation,"$41,433,742",Sep/2025,($0.20),2,,,2.0,2025-11-13
N/A,($0.31),time-pre-market,IPWR,Ideal Power Inc.,"$41,257,858",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($5.40),time-not-supplied,TVRD,"Tvardi Therapeutics, Inc.","$41,166,931",Sep/2025,($0.83),3,,,3.0,2025-11-13
11/14/2024,$0.09,time-not-supplied,BEEM,Beam Global,"$40,601,234",Sep/2025,($0.25),2,,0.09,2.0,2025-11-13
N/A,($0.11),time-not-supplied,RAIN,"Rain Enhancement Technologies Holdco, Inc.","$38,691,216",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.20,time-not-supplied,BHM,"Bluerock Homes Trust, Inc.","$38,635,280",Sep/2025,,1,,0.2,1.0,2025-11-13
N/A,($0.08),time-pre-market,JG,Aurora Mobile Limited,"$37,975,944",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.25),time-not-supplied,RVPH,"Reviva Pharmaceuticals Holdings, Inc.","$37,605,998",Sep/2025,($0.11),3,,,3.0,2025-11-13
11/13/2024,($0.10),time-after-hours,RNXT,"RenovoRx, Inc.","$37,378,802",Sep/2025,($0.08),2,,,2.0,2025-11-13
3/20/2025,($0.10),time-after-hours,FLUX,"Flux Power Holdings, Inc.","$37,375,250",Sep/2025,($0.04),2,,,2.0,2025-11-13
N/A,($0.19),time-not-supplied,BOF,BranchOut Food Inc.,"$35,232,620",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.11),time-pre-market,SWAG,"Stran & Company, Inc.","$35,069,642",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,CSAI,"Cloudastructure, Inc.","$34,814,643",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.21),time-not-supplied,FMST,Foremost Clean Energy Ltd.,"$34,595,386",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.05),time-not-supplied,TOON,"Kartoon Studios, Inc.","$34,548,816",Sep/2025,,1,,,1.0,2025-11-13
N/A,($67.50),time-not-supplied,DBGI,"Digital Brands Group, Inc.","$33,707,364",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.23),time-not-supplied,NNVC,"NanoViricides, Inc.","$33,293,210",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.27),time-not-supplied,RNTX,"Rein Therapeutics, Inc.","$33,093,253",Sep/2025,($0.24),2,,,2.0,2025-11-13
N/A,($0.21),time-not-supplied,POCI,"Precision Optics Corporation, Inc.","$32,324,597",Sep/2025,,1,,,1.0,2025-11-13
11/13/2024,($2.20),time-after-hours,SDST,Stardust Power Inc.,"$31,974,926",Sep/2025,($0.30),1,,,1.0,2025-11-13
N/A,($0.14),time-not-supplied,MODD,"Modular Medical, Inc.","$31,290,949",Sep/2025,,1,,,1.0,2025-11-13
N/A,($8.80),time-after-hours,HYPD,"Hyperion DeFi, Inc.","$30,836,578",Sep/2025,,1,,,1.0,2025-11-13
N/A,($1.14),time-not-supplied,NIXX,"Nixxy, Inc.","$30,624,970",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.02,time-not-supplied,DTST,Data Storage Corporation,"$29,993,861",Sep/2025,,1,,0.02,1.0,2025-11-13
N/A,($32.50),time-not-supplied,XTIA,"XTI Aerospace, Inc. Common Stock ","$29,772,375",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.02),time-not-supplied,MLSS,"Milestone Scientific, Inc.","$29,726,781",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.06),time-not-supplied,VRAR,"The Glimpse Group, Inc.","$29,492,408",Sep/2025,,1,,,1.0,2025-11-13
11/12/2024,($2.87),time-after-hours,RBOT,Vicarious Surgical Inc.,"$27,677,930",Sep/2025,($2.37),1,,,1.0,2025-11-13
11/14/2024,($0.30),time-not-supplied,ITRM,Iterum Therapeutics plc,"$27,325,561",Sep/2025,($0.13),1,,,1.0,2025-11-13
N/A,($0.93),time-not-supplied,SIDU,"Sidus Space, Inc.","$27,121,807",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($5.12),time-not-supplied,BTAI,"BioXcel Therapeutics, Inc.","$27,075,542",Sep/2025,($1.54),1,,,1.0,2025-11-13
N/A,$0.22,time-not-supplied,WETH,Wetouch Technology Inc.,"$26,965,267",Sep/2025,,1,,0.22,1.0,2025-11-13
N/A,($0.57),time-not-supplied,XCUR,"Exicure, Inc.","$26,724,264",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.21),time-not-supplied,BNKK,"Bonk, Inc.","$26,583,152",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,$0.02,time-not-supplied,SGRP,"SPAR Group, Inc.","$26,403,762",Sep/2025,,N/A,,0.02,,2025-11-13
N/A,($0.07),time-not-supplied,RVP,"Retractable Technologies, Inc.","$25,177,151",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.07),time-not-supplied,BCG,"Binah Capital Group, Inc.","$24,571,641",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.55),time-not-supplied,DARE,"Dare Bioscience, Inc.","$24,397,899",Sep/2025,($0.33),2,,,2.0,2025-11-13
N/A,($0.91),time-not-supplied,BURU,"Nuburu, Inc.","$23,186,347",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.61),time-not-supplied,AIFF,"Firefly Neuroscience, Inc. ","$22,366,173",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,TOPP,Toppoint Holdings Inc.,"$22,225,000",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.49),time-not-supplied,LIQT,"LiqTech International, Inc.","$22,016,158",Sep/2025,($0.17),1,,,1.0,2025-11-13
N/A,$0.17,time-pre-market,SPCB,"SuperCom, Ltd.","$21,945,836",Sep/2025,,1,,0.17,1.0,2025-11-13
N/A,N/A,time-not-supplied,AGAE,Allied Gaming & Entertainment Inc.,"$21,883,668",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.14),time-not-supplied,PMN,ProMIS Neurosciences Inc.,"$21,868,835",Sep/2025,($0.15),1,,,1.0,2025-11-13
N/A,$0.13,time-not-supplied,HHS,"Harte Hanks, Inc.","$21,651,198",Sep/2025,,1,,0.13,1.0,2025-11-13
11/13/2024,($1.32),time-after-hours,XOS,"Xos, Inc.","$21,031,211",Sep/2025,($0.73),1,,,1.0,2025-11-13
11/14/2024,($0.66),time-not-supplied,MIGI,Mawson Infrastructure Group Inc.,"$20,846,102",Sep/2025,($0.53),1,,,1.0,2025-11-13
N/A,N/A,time-after-hours,ZSPC,"zSpace, Inc.","$20,845,571",Sep/2025,($0.20),1,,,1.0,2025-11-13
